Device: xGravity,Device: yGravity,Device: zGravity,Device: xAcceleration,Device: yAcceleration,Device: zAcceleration,Device: pitch,Device: roll,Device: yaw,Device: xRotationRate,Device: yRotationRate,Device: zRotationRate,exerciseType,exerciseSubType,timeStampSaved,individual
-0.24,-0.97,-0.09,0.16,-0.08,0.04,1.31,-1.23,0.85,-0.96,0.89,0.25,setBreak,setBreak,2017-04-28 08:30:50:971,3
-0.23,-0.96,-0.15,0.25,-0.05,0.18,1.29,-0.99,0.62,-0.55,-1.06,-0.42,setBreak,setBreak,2017-04-28 08:30:51:069,3
-0.22,-0.96,-0.16,0.34,0.02,0.13,1.3,-0.96,0.31,-0.75,-3.67,-0.68,setBreak,setBreak,2017-04-28 08:30:51:170,3
-0.17,-0.97,-0.15,-0.18,-0.2,-0.07,1.34,-0.84,-0.09,-0.39,-0.58,-1.03,setBreak,setBreak,2017-04-28 08:30:51:269,3
-0.07,-0.98,-0.19,-0.17,0.09,-0.06,1.37,-0.38,-0.58,-0.42,0.03,-0.97,setBreak,setBreak,2017-04-28 08:30:51:370,3
0.02,-0.98,-0.2,-0.25,0.08,0.09,1.37,0.09,-1.06,0.27,-0.61,-1.0,setBreak,setBreak,2017-04-28 08:30:51:470,3
0.09,-0.98,-0.16,-0.32,0.06,-0.04,1.39,0.48,-1.54,0.4,-0.69,-0.61,setBreak,setBreak,2017-04-28 08:30:51:571,3
0.1,-0.99,-0.13,-0.3,0.02,-0.14,1.4,0.64,-1.73,0.24,0.12,0.25,setBreak,setBreak,2017-04-28 08:30:51:670,3
0.05,-0.99,-0.11,-0.24,0.04,-0.12,1.45,0.45,-1.5,0.2,0.58,0.77,setBreak,setBreak,2017-04-28 08:30:51:769,3
-0.05,-0.99,-0.1,-0.17,-0.0,-0.14,1.46,-0.41,-0.53,-0.01,1.25,1.08,setBreak,setBreak,2017-04-28 08:30:51:872,3
-0.13,-0.98,-0.13,0.16,-0.11,-0.11,1.39,-0.79,-0.08,-0.23,0.1,0.75,setBreak,setBreak,2017-04-28 08:30:51:969,3
-0.18,-0.97,-0.15,0.23,0.08,-0.01,1.33,-0.89,-0.01,-0.34,-0.6,0.36,setBreak,setBreak,2017-04-28 08:30:52:069,3
-0.21,-0.96,-0.16,0.06,-0.08,0.16,1.3,-0.92,-0.05,-0.22,-0.56,0.09,setBreak,setBreak,2017-04-28 08:30:52:170,3
-0.19,-0.97,-0.15,-0.09,-0.03,0.09,1.32,-0.91,-0.09,0.23,0.18,-0.36,setBreak,setBreak,2017-04-28 08:30:52:268,3
-0.13,-0.98,-0.14,-0.07,0.07,0.11,1.38,-0.74,-0.16,0.32,1.62,-0.6,setBreak,setBreak,2017-04-28 08:30:52:370,3
-0.05,-0.99,-0.1,0.12,-0.12,-0.0,1.46,-0.5,-0.25,0.47,1.03,-0.64,setBreak,setBreak,2017-04-28 08:30:52:469,3
0.01,-1.0,-0.05,0.0,-0.05,-0.07,1.52,0.19,-0.87,0.43,0.7,-0.42,setBreak,setBreak,2017-04-28 08:30:52:571,3
0.02,-1.0,-0.02,-0.1,-0.02,0.01,1.54,0.94,-1.57,0.16,0.3,0.16,setBreak,setBreak,2017-04-28 08:30:52:670,3
-0.01,-1.0,-0.01,-0.06,-0.05,0.02,1.55,-0.51,-0.1,-0.09,0.06,0.44,setBreak,setBreak,2017-04-28 08:30:52:770,3
-0.06,-1.0,-0.04,0.1,-0.02,0.0,1.5,-0.92,0.28,-0.44,-0.7,0.58,setBreak,setBreak,2017-04-28 08:30:52:869,3
-0.12,-0.99,-0.09,0.15,-0.09,0.05,1.42,-0.96,0.2,-0.51,-1.4,0.45,setBreak,setBreak,2017-04-28 08:30:52:971,3
-0.15,-0.98,-0.11,-0.07,-0.1,-0.09,1.39,-0.92,0.08,-0.35,0.05,-0.05,setBreak,setBreak,2017-04-28 08:30:53:069,3
-0.14,-0.98,-0.15,-0.01,0.11,-0.05,1.37,-0.73,-0.07,-0.27,0.51,-0.01,setBreak,setBreak,2017-04-28 08:30:53:170,3
-0.12,-0.98,-0.15,0.12,0.07,-0.08,1.37,-0.68,-0.1,0.27,0.01,-0.25,setBreak,setBreak,2017-04-28 08:30:53:270,3
-0.1,-0.99,-0.12,0.09,0.02,-0.24,1.41,-0.69,-0.13,0.25,-0.54,-0.31,setBreak,setBreak,2017-04-28 08:30:53:368,3
-0.07,-0.99,-0.12,-0.18,0.07,-0.23,1.43,-0.56,-0.25,-0.16,0.51,-0.09,setBreak,setBreak,2017-04-28 08:30:53:468,3
-0.08,-0.99,-0.14,-0.13,0.05,-0.13,1.41,-0.54,-0.24,-0.12,0.34,0.22,setBreak,setBreak,2017-04-28 08:30:53:570,3
-0.09,-0.98,-0.15,-0.05,0.05,-0.1,1.4,-0.58,-0.14,0.1,0.48,0.17,setBreak,setBreak,2017-04-28 08:30:53:670,3
-0.09,-0.99,-0.13,0.01,0.01,-0.16,1.41,-0.62,-0.05,0.24,0.59,-0.03,setBreak,setBreak,2017-04-28 08:30:53:771,3
-0.09,-0.99,-0.11,0.06,0.11,-0.19,1.43,-0.69,0.08,0.33,0.36,0.08,setBreak,setBreak,2017-04-28 08:30:53:869,3
-0.1,-0.99,-0.11,-0.09,-0.05,-0.07,1.42,-0.74,0.17,0.51,0.77,0.22,setBreak,setBreak,2017-04-28 08:30:53:971,3
-0.12,-0.99,-0.08,0.05,-0.01,-0.14,1.42,-0.95,0.48,0.3,0.86,0.23,setBreak,setBreak,2017-04-28 08:30:54:069,3
-0.13,-0.99,-0.08,0.12,-0.0,-0.06,1.42,-1.05,0.64,0.04,0.3,0.13,setBreak,setBreak,2017-04-28 08:30:54:170,3
-0.14,-0.99,-0.08,0.01,-0.05,0.01,1.41,-1.05,0.7,0.01,0.81,0.17,setBreak,setBreak,2017-04-28 08:30:54:274,3
-0.15,-0.98,-0.09,0.14,-0.04,0.05,1.39,-1.04,0.76,-0.01,0.61,0.34,setBreak,setBreak,2017-04-28 08:30:54:370,3
